Year,State,Landings_Tonnes,Source_URL
2013,Andhra Pradesh,266031,https://www.cmfri.org.in/state2013
2014,Andhra Pradesh,341699,https://www.cmfri.org.in/state2014
2015,Andhra Pradesh,295052,https://www.cmfri.org.in/state2015
2016,Andhra Pradesh,191886,https://www.cmfri.org.in/state2016
2017,Andhra Pradesh,199659,https://www.cmfri.org.in/state2017
2018,Andhra Pradesh,193506,https://www.cmfri.org.in/state2018
2019,Andhra Pradesh,259029,https://www.cmfri.org.in/state2019
2020,Andhra Pradesh,194408,https://www.cmfri.org.in/state2020
2021,Andhra Pradesh,206524,https://www.cmfri.org.in/state2021
2022,Andhra Pradesh,215919,https://www.cmfri.org.in/state2022
2023,Andhra Pradesh,189530,https://www.cmfri.org.in/state2023
2024,Andhra Pradesh,174980,https://www.cmfri.org.in/state2024
2013,Goa,104134,https://www.cmfri.org.in/state2013
2014,Goa,153230,https://www.cmfri.org.in/state2014
2015,Goa,68561,https://www.cmfri.org.in/state2015
2016,Goa,61219,https://www.cmfri.org.in/state2016
2017,Goa,100175,https://www.cmfri.org.in/state2017
2018,Goa,59096,https://www.cmfri.org.in/state2018
2019,Goa,32860,https://www.cmfri.org.in/state2019
2020,Goa,57151,https://www.cmfri.org.in/state2020
2021,Goa,51601,https://www.cmfri.org.in/state2021
2022,Goa,52228,https://www.cmfri.org.in/state2022
2023,Goa,61001,https://www.cmfri.org.in/state2023
2024,Goa,30541,https://www.cmfri.org.in/state2024
2013,Gujarat,717170,https://www.cmfri.org.in/state2013
2014,Gujarat,711930,https://www.cmfri.org.in/state2014
2015,Gujarat,721549,https://www.cmfri.org.in/state2015
2016,Gujarat,774373,https://www.cmfri.org.in/state2016
2017,Gujarat,786495,https://www.cmfri.org.in/state2017
2018,Gujarat,780312,https://www.cmfri.org.in/state2018
2019,Gujarat,749268,https://www.cmfri.org.in/state2019
2020,Gujarat,532031,https://www.cmfri.org.in/state2020
2021,Gujarat,576416,https://www.cmfri.org.in/state2021
2022,Gujarat,502686,https://www.cmfri.org.in/state2022
2023,Gujarat,822786,https://www.cmfri.org.in/state2023
2024,Gujarat,754256,https://www.cmfri.org.in/state2024
2013,Karnataka,437118,https://www.cmfri.org.in/state2013
2014,Karnataka,474076,https://www.cmfri.org.in/state2014
2015,Karnataka,442693,https://www.cmfri.org.in/state2015
2016,Karnataka,529523,https://www.cmfri.org.in/state2016
2017,Karnataka,547784,https://www.cmfri.org.in/state2017
2018,Karnataka,452056,https://www.cmfri.org.in/state2018
2019,Karnataka,501331,https://www.cmfri.org.in/state2019
2020,Karnataka,374841,https://www.cmfri.org.in/state2020
2021,Karnataka,550785,https://www.cmfri.org.in/state2021
2022,Karnataka,694686,https://www.cmfri.org.in/state2022
2023,Karnataka,603658,https://www.cmfri.org.in/state2023
2024,Karnataka,400270,https://www.cmfri.org.in/state2024
2013,Kerala,671361,https://www.cmfri.org.in/state2013
2014,Kerala,575644,https://www.cmfri.org.in/state2014
2015,Kerala,482499,https://www.cmfri.org.in/state2015
2016,Kerala,522550,https://www.cmfri.org.in/state2016
2017,Kerala,584686,https://www.cmfri.org.in/state2017
2018,Kerala,642580,https://www.cmfri.org.in/state2018
2019,Kerala,543836,https://www.cmfri.org.in/state2019
2020,Kerala,360867,https://www.cmfri.org.in/state2020
2021,Kerala,554976,https://www.cmfri.org.in/state2021
2022,Kerala,686823,https://www.cmfri.org.in/state2022
2023,Kerala,633258,https://www.cmfri.org.in/state2023
2024,Kerala,610234,https://www.cmfri.org.in/state2024
2013,Maharashtra,364327,https://www.cmfri.org.in/state2013
2014,Maharashtra,344648,https://www.cmfri.org.in/state2014
2015,Maharashtra,264891,https://www.cmfri.org.in/state2015
2016,Maharashtra,292355,https://www.cmfri.org.in/state2016
2017,Maharashtra,381142,https://www.cmfri.org.in/state2017
2018,Maharashtra,295398,https://www.cmfri.org.in/state2018
2019,Maharashtra,200979,https://www.cmfri.org.in/state2019
2020,Maharashtra,139863,https://www.cmfri.org.in/state2020
2021,Maharashtra,122823,https://www.cmfri.org.in/state2021
2022,Maharashtra,169732,https://www.cmfri.org.in/state2022
2023,Maharashtra,211010,https://www.cmfri.org.in/state2023
2024,Maharashtra,310777,https://www.cmfri.org.in/state2024
2013,Odisha,124415,https://www.cmfri.org.in/state2013
2014,Odisha,138722,https://www.cmfri.org.in/state2014
2015,Odisha,141120,https://www.cmfri.org.in/state2015
2016,Odisha,117493,https://www.cmfri.org.in/state2016
2017,Odisha,126958,https://www.cmfri.org.in/state2017
2018,Odisha,89181,https://www.cmfri.org.in/state2018
2019,Odisha,102143,https://www.cmfri.org.in/state2019
2020,Odisha,175263,https://www.cmfri.org.in/state2020
2021,Odisha,180069,https://www.cmfri.org.in/state2021
2022,Odisha,133132,https://www.cmfri.org.in/state2022
2023,Odisha,129944,https://www.cmfri.org.in/state2023
2024,Odisha,153814,https://www.cmfri.org.in/state2024
2013,Puducherry,68726,https://www.cmfri.org.in/state2013
2014,Puducherry,65393,https://www.cmfri.org.in/state2014
2015,Puducherry,79148,https://www.cmfri.org.in/state2015
2016,Puducherry,45190,https://www.cmfri.org.in/state2016
2017,Puducherry,27040,https://www.cmfri.org.in/state2017
2018,Puducherry,45406,https://www.cmfri.org.in/state2018
2019,Puducherry,36872,https://www.cmfri.org.in/state2019
