Year,Month,State,Latitude,Longitude,Nearest_SST_Latitude,Nearest_SST_Longitude,SST,SST_Min,SST_Max,SST_Std,Historical_Catch,Landings_Tonnes,Availability,Data_Source,Source_URL,PFZ_Observations,PFZ_Mean_Distance_km,PFZ_Mean_Depth_m,Observed_Length_cm,Maturity_Length_cm,Exact_Maturity_Score,Integrated_Sources
2013,2013-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.30416658333333,25.97,30.3,1.487875006205492,266031.0,266031,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2013,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2014,2014-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.36833316666667,25.76,30.42,1.474842529652869,266031.0,341699,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2014,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2015,2015-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.542499583333335,25.72,30.13,1.4606727598487217,341699.0,295052,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2015,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2016,2016-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.719999583333333,26.68,30.199999,1.1991889077054956,295052.0,191886,0,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2016,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2017,2017-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.609999833333333,25.82,30.57,1.620779891960087,191886.0,199659,0,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2017,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2018,2018-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.26916625,25.279999,29.8,1.5241895843168072,199659.0,193506,0,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2018,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2019,2019-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.57249941666667,25.439999,30.439999,1.4815540273339798,193506.0,259029,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2019,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2020,2020-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.823333083333335,26.119999,30.42,1.3937414729186814,259029.0,194408,0,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2020,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2021,2021-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.73666658333333,26.48,30.34,1.376889234338206,194408.0,206524,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2021,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2022,2022-06,Andhra Pradesh,16.99,82.25,16.5,82.5,28.630833083333332,26.08,30.06,1.3939377295231896,206524.0,215919,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2022,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2023,2023-06,Andhra Pradesh,16.99,82.25,16.5,82.5,26.529999,26.529999,26.529999,,215919.0,189530,0,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2023,1.0,18.5,55.0,12.0,16.3,0.2638036809815951,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2013,2013-06,Goa,15.3,74.12,15.5,74.5,28.471666166666665,27.189999,29.679998,0.7393711447557474,104134.0,104134,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2013,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2014,2014-06,Goa,15.3,74.12,15.5,74.5,28.778332833333337,27.5,30.359999,0.9601399531825672,104134.0,153230,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2014,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
2015,2015-06,Goa,15.3,74.12,15.5,74.5,29.079999666666662,27.619999,30.599998,0.7772325976884361,153230.0,68561,1,CMFRI state landings + Indian SST,https://www.cmfri.org.in/state2015,,,,,,,CMFRI + NOAA OISST + INCOIS PFZ + FishBase Maturity
